canonical_entity_id,canonical_entity_type,canonical_status,source_system,source_row_id,source_sku,source_type,canonical_name,published,catalog_visibility,tax_status,source_in_stock,canonical_brand_external,product_family_external,categories,tags,unit_of_measure_external,pack_size_value_external,pack_size_unit_external,pack_size_text_external,weight_kg,length_cm,width_cm,height_cm,thickness_mm,diameter_value,diameter_unit,omniclass_code,masterformat_code,uniformat_code,etim_code,icms_code,source_content_hash
f4a86756-95ad-57d7-8c0b-78fee653dcea,Product,master_canonical,wajenzi-master-catalogue-v1,10979,TA16,simple,Backing Pad 180mm,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,723457a5f26b2263946c4353398dea081e4050553a6d96bf35467aa3dea8bd18
649771ac-8f84-57a7-8c17-43fb80b7fb06,Product,master_canonical,wajenzi-master-catalogue-v1,10981,TA17,simple,Backing Pad 180mm M14x2,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,bbe88f911b1386be7cd10b8d214595cc9039f1caaf6651d2c23b54766818ad80
9bbdf4cd-6930-5f09-8f91-fc9970d64774,Product,master_canonical,wajenzi-master-catalogue-v1,10983,TA18,simple,Backing Pad With 5 Sanding Discs With Velcro Back 4-1/2” (115mm) M14x 2 Shank- Works With Angle Grinder Or Drills,1,visible,taxable,1,,tools,Tool accessories,"Metal Cutting and Fabrication Tools, Power tools, Total power tools",piece,1,piece,1 piece,,,,,,,,,,,,,dd5ae09024feb709db5856453fb90ce02c37594f94d641223c2bf347a6b767ce
e1258f0e-c9bf-5e87-a750-e6c2046bc8a8,Product,master_canonical,wajenzi-master-catalogue-v1,10984,TA19,simple,Backing Pad With 5 Sanding Discs With Velcro Back 7-1/4″ (180mm) M14 X 2 Shank- Works With Angle Grinders,1,visible,taxable,1,,tools,Tool accessories,"Metal Cutting and Fabrication Tools, Power tools, Total power tools",piece,1,piece,1 piece,,,,,,,,,,,,,16fb9752d3f74402a5d7ad9be0f0b1a287ced6eb5d0b222ce85b92cd9c927486
7e3fe5bc-ccc7-5362-a26a-63dcd389dd67,Product,master_canonical,wajenzi-master-catalogue-v1,10986,TA20,simple,Bit Set 31-Pcs,1,visible,taxable,1,,tools,Tool accessories,,set,,set,set,,,,,,,,,,,,,934979edec71bef3a6a90f6c8460a349e17d31814ce1a4fa23f638d04e46bed6
634db223-92ef-5f23-93cb-b5e758cee924,Product,master_canonical,wajenzi-master-catalogue-v1,10988,TA21,simple,Black Abrasive Disc W/Net Cover 115mmx22.2m M 12500rpm,1,visible,taxable,1,Bosch,tools,Tool accessories,"Abrasive and Grinding, bosch tool accessories",piece,1,piece,1 piece,,11.5,2.22,,,,,,,,,,971c0506dad174f25a08026ac0b6a9f89430d824e49f2ab813019418a9ac3013
b5bea3c9-4772-595c-9766-6177e4995db8,Product,master_canonical,wajenzi-master-catalogue-v1,10990,TA22,simple,Black Abrasive Disc W/Rod 115mmx22.2m M 12500rpm,1,visible,taxable,1,Bosch,tools,Tool accessories,"Abrasive and Grinding, bosch tool accessories",piece,1,piece,1 piece,,11.5,2.22,,,,,,,,,,21e8ebeab7c14aad87f30ad3481f42b4100f13da660154a2c878eefac2130d54
ba4b8327-5b9c-5443-a837-95a044bbd6ac,Product,master_canonical,wajenzi-master-catalogue-v1,10992,TA23,simple,"Charger & 2 Batteries  Starterkit 18v, 6.0 Ah",1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,66d3a01a9ba7f83eab133dcbb72d63288ac9c499568541f5bac233bedd6da6f8
424a14de-fde0-54c8-bf6a-cc4f940aa879,Product,master_canonical,wajenzi-master-catalogue-v1,10993,TA24,simple,"Charger & 2 Batteries Starterkit 18v, 2.0 Ah",1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,e9251c8723745f0efdff75441b0913fc71c9e2e717862e8c2946a579ad698352
6b50d6f7-546a-5403-9e76-256ab974d257,Product,master_canonical,wajenzi-master-catalogue-v1,10995,TA25,simple,"Charger & 2 Batteries Starterkit 18v, 4.0 Ah",1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,e258e2be5a62dca03cd3b8f521dc920e500fa6323f3b4bdb84664aaa565fdb8b
6f7c0e2a-8e18-505a-b6f3-c14d25044267,Product,master_canonical,wajenzi-master-catalogue-v1,10997,TA26,simple,"Charger & 2 Batteries Starterkit 18v, 5.0 Ah",1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,,,e86f0b1f5ab3b2c4ebbcc4ea9f003dc3b9f496bebf07b75b4dbbff9d9290b05f
f8f5240b-9007-5dbb-9fe0-60fc11435c78,Product,master_canonical,wajenzi-master-catalogue-v1,10999,TA27,simple,Circular Saw Blade Eco Aluminium 184x2.2/1.4x20 60t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,88d11d576be72f124480172f0fd2f0af639b03b45dec3380a5ab7536c4b206bd
