source_code,source_record_id,gid,ward_name,county_name,subcounty_name,dhis2_uid,dhis2_cuid,dhis2_scuid,population_2009,vintage,modified_at,source_status
HDX_ARC_WARDS_1450,YZvux1SW3bs,1903,Ndavaya Ward,Kwale,Kinango Sub County,YZvux1SW3bs,N7YETT3A9r1,LOgbecTRkbp,27816.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,QEGPqON6Zcj,1904,Puma Ward,Kwale,Kinango Sub County,QEGPqON6Zcj,N7YETT3A9r1,LOgbecTRkbp,19860.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,PrGoCfZ06gm,1905,Kinango Ward,Kwale,Kinango Sub County,PrGoCfZ06gm,N7YETT3A9r1,LOgbecTRkbp,32571.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,wfUbX2QagwS,1906,Mackinon Road Ward,Kwale,Kinango Sub County,wfUbX2QagwS,N7YETT3A9r1,LOgbecTRkbp,31128.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,TwX1KTjb8Qp,1907,Chengoni/samburu Ward,Kwale,Kinango Sub County,TwX1KTjb8Qp,N7YETT3A9r1,LOgbecTRkbp,32641.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,vjeHNVWOsRk,1908,Mwavumbo Ward,Kwale,Kinango Sub County,vjeHNVWOsRk,N7YETT3A9r1,LOgbecTRkbp,31902.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,wgKfulEq1ZH,1781,Kiamaina Ward,Nakuru,Nakuru North  Sub County,wgKfulEq1ZH,ob6SxuRcqU4,nwh9bXKykiS,31345.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,aom47Uzq1RZ,1909,Kasemeni Ward,Kwale,Kinango Sub County,aom47Uzq1RZ,N7YETT3A9r1,LOgbecTRkbp,33642.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,t7COLdUthus,2237,Gatuanyaga Ward,Kiambu,Thika Town Sub County,t7COLdUthus,qKzosKQPl6G,YZAZ1a9MIvX,14934.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,VWuMYjG4YX4,2238,Ngoliba Ward,Kiambu,Thika Town Sub County,VWuMYjG4YX4,qKzosKQPl6G,YZAZ1a9MIvX,11636.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,Gf7UYKPruI2,2239,Gitothua,Kiambu,Ruiru Sub County,Gf7UYKPruI2,qKzosKQPl6G,TPRNJqSm4lK,18083.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,AUs81wSmXra,112,Mahoo Ward,TAITA TAVETA,Taveta Sub County,AUs81wSmXra,QyGNX2DpR4h,jNzRdAwjaQ1,8299.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,OFb6pB88hNT,2269,Kimulot Ward,Bomet,Konoin Sub County,OFb6pB88hNT,HMNARUV2CW4,PLFoYJO8MVS,22735.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,rWijSZrVU5U,2270,Mogogosiek Ward,Bomet,Konoin Sub County,rWijSZrVU5U,HMNARUV2CW4,PLFoYJO8MVS,30734.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,w8SzXPBdjgq,2271,Boito Ward,Bomet,Konoin Sub County,w8SzXPBdjgq,HMNARUV2CW4,PLFoYJO8MVS,31964.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,QMzAkzZkH34,2272,Embomos Ward,Bomet,Konoin Sub County,QMzAkzZkH34,HMNARUV2CW4,PLFoYJO8MVS,33920.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,q6eyMKDnFA0,2273,BOMBABA BORABU,Kisii,Bomachoge Borabu Sub County,q6eyMKDnFA0,sPkRcDvhGWA,ntRK47D5dYL,23724.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,RLv6Wg2Eo8m,1775,Soin Ward,Nakuru,Rongai  Sub County,RLv6Wg2Eo8m,ob6SxuRcqU4,OK0hW8DFHq3,24969.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,H2b8KHTcJqM,757,Kemeloi-maraba Ward,NANDI,Aldai Sub County,H2b8KHTcJqM,t0J75eHKxz5,Sq2fLWnOCGg,35085.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,YxP90gGjD63,758,Kobujoi Ward,NANDI,Aldai Sub County,YxP90gGjD63,t0J75eHKxz5,Sq2fLWnOCGg,26539.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,qj48MUGxhs9,759,Kaptumo/kaboi Ward,NANDI,Aldai Sub County,qj48MUGxhs9,t0J75eHKxz5,Sq2fLWnOCGg,24464.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,UBMIBBujflT,760,Koyo/ndurio Ward,NANDI,Aldai Sub County,UBMIBBujflT,t0J75eHKxz5,Sq2fLWnOCGg,19905.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,iWDqdgd87nd,761,Nandi hills Ward,NANDI,Nandi East Sub County,iWDqdgd87nd,t0J75eHKxz5,W6Err8cQf5J,33545.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,O4tmt5AWnNr,762,Chepkunyuk Ward,NANDI,Nandi East Sub County,O4tmt5AWnNr,t0J75eHKxz5,W6Err8cQf5J,36775.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,RXoThrI8OjU,119,Mwanda/mgange Ward,TAITA TAVETA,Wundanyi Sub County,RXoThrI8OjU,QyGNX2DpR4h,AM36DdkZ36Y,13322.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,px49ejbHkuk,120,Ronge Ward,TAITA TAVETA,Mwatate Sub County,px49ejbHkuk,QyGNX2DpR4h,IBDoGsLdhvt,10805.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,SYuNHyY118o,305,Igambang`ombe Ward,THARAKA-NITHI,Igambang'ombe Sub County,SYuNHyY118o,T4urHM47nlm,yXwsnpFBIPW,30160.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
