source_code,source_record_id,level,name,source_pcode,parent_source_pcode,valid_on,valid_to,version,area_sqkm,center_lat,center_lon,geometry_file,source_status
HDX_COD_AB_KE,KE039217,admin2,Sirisia,KE039217,KE039,2019-10-31,,v01,210.14298645,0.73702666,34.49508725,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE036194,admin2,Sotik,KE036194,KE036,2019-10-31,,v01,475.53823377,-0.76531307,35.1444925,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE012059,admin2,South Imenti,KE012059,KE012,2019-10-31,,v01,661.7099844,-0.11711022,37.61606659,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE045262,admin2,South Mugirango,KE045262,KE045,2019-10-31,,v01,207.4239243,-0.8367771,34.65109554,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE027141,admin2,Soy,KE027141,KE027,2019-10-31,,v01,655.44441581,0.73619222,35.22785238,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE047289,admin2,Starehe,KE047289,KE047,2019-10-31,,v01,16.83635222,-1.28990184,36.82862377,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE043251,admin2,Suba North,KE043251,KE043,2019-10-31,,v01,1050.86783277,-0.50475394,34.32193803,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE043252,admin2,Suba South,KE043252,KE043,2019-10-31,,v01,1173.04812285,-0.65110394,34.10718108,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE032172,admin2,Subukia,KE032172,KE032,2019-10-31,,v01,454.25502196,0.02495213,36.22202038,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE044255,admin2,Suna East,KE044255,KE044,2019-10-31,,v01,206.68162545,-1.06605394,34.52460603,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE044256,admin2,Suna West,KE044256,KE044,2019-10-31,,v01,284.15681995,-1.09155394,34.36813577,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE008035,admin2,Tarbaj,KE008035,KE008,2019-10-31,,v01,7544.37103586,2.37922878,40.25136576,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE006023,admin2,Taveta,KE006023,KE006,2019-10-31,,v01,4007.26942629,-3.43898577,37.85891485,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE040225,admin2,Teso North,KE040225,KE040,2019-10-31,,v01,254.07397094,0.68056666,34.34379695,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE040226,admin2,Teso South,KE040226,KE040,2019-10-31,,v01,304.31938202,0.53850794,34.23401264,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE019094,admin2,Tetu,KE019094,KE019,2019-10-31,,v01,358.51357373,-0.45314156,36.82206294,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE013062,admin2,Tharaka,KE013062,KE013,2019-10-31,,v01,1477.94740177,-0.17970192,37.99640617,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE022114,admin2,Thika Town,KE022114,KE022,2019-10-31,,v01,219.10537687,-1.05555442,37.1770449,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE030157,admin2,Tiaty,KE030157,KE030,2019-10-31,,v01,4446.5018539,1.14390103,35.95054449,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE012055,admin2,Tigania East,KE012055,KE012,2019-10-31,,v01,833.31638887,0.26986134,37.78319389,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE012054,admin2,Tigania West,KE012054,KE012,2019-10-31,,v01,391.49200242,0.17129208,37.74363395,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE029151,admin2,Tinderet,KE029151,KE029,2019-10-31,,v01,541.6892369,-0.00821077,35.26049585,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE039224,admin2,Tongaren,KE039224,KE039,2019-10-31,,v01,375.43925894,0.77756929,34.93479758,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE027142,admin2,Turbo,KE027142,KE027,2019-10-31,,v01,435.05778745,0.60069578,35.09846371,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE023125,admin2,Turkana Central,KE023125,KE023,2019-10-31,,v01,6615.80675614,3.13173735,35.85090782,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE023128,admin2,Turkana East,KE023128,KE023,2019-10-31,,v01,11183.87105938,1.87194966,36.14241538,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE023123,admin2,Turkana North,KE023123,KE023,2019-10-31,,v01,20482.24260698,4.3760376,35.55307763,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE023127,admin2,Turkana South,KE023127,KE023,2019-10-31,,v01,7419.5486756,2.37789917,35.70025917,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE023124,admin2,Turkana West,KE023124,KE023,2019-10-31,,v01,14684.24807286,4.05175781,34.59598106,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE041232,admin2,Ugenya,KE041232,KE041,2019-10-31,,v01,321.05934445,0.21731754,34.20464567,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE041233,admin2,Ugunja,KE041233,KE041,2019-10-31,,v01,199.17755302,0.2070586,34.3402606,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE044257,admin2,Uriri,KE044257,KE044,2019-10-31,,v01,383.77929731,-0.94320394,34.43487188,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE038211,admin2,Vihiga,KE038211,KE038,2019-10-31,,v01,89.52488194,0.03155753,34.69029154,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE006026,admin2,Voi,KE006026,KE006,2019-10-31,,v01,8581.29248601,-3.33802243,38.79424364,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE008034,admin2,Wajir East,KE008034,KE008,2019-10-31,,v01,4279.58031917,2.00619507,40.7082978,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE008033,admin2,Wajir North,KE008033,KE008,2019-10-31,,v01,10398.86500056,2.98934392,39.75345509,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE008038,admin2,Wajir South,KE008038,KE008,2019-10-31,,v01,21580.6221263,0.96433624,40.23985783,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE008036,admin2,Wajir West,KE008036,KE008,2019-10-31,,v01,8124.32104518,1.64850455,39.67596986,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE039221,admin2,Webuye East,KE039221,KE039,2019-10-31,,v01,163.95550759,0.65294909,34.79716654,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE039222,admin2,Webuye West,KE039222,KE039,2019-10-31,,v01,236.07019054,0.59749675,34.71666272,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE046271,admin2,West Mugirango,KE046271,KE046,2019-10-31,,v01,179.82221119,-0.57212475,34.91133369,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE047274,admin2,Westlands,KE047274,KE047,2019-10-31,,v01,72.70426971,-1.23206086,36.79537519,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE006024,admin2,Wundanyi,KE006024,KE006,2019-10-31,,v01,850.95271696,-3.29923698,38.26943486,ken_admin2.geojson,reference_baseline
HDX_COD_AB_KE,KE016076,admin2,Yatta,KE016076,KE016,2019-10-31,,v01,1060.93373705,-1.2419429,37.58482105,ken_admin2.geojson,reference_baseline
